line_number,timestamp,cwnd,ip,port,rtt,ssthresh,phase,ca_state
288,676177.796767,70,128.178.122.39,53774,697,,congestion_avoidance,
289,676177.797318,71,128.178.122.39,53774,717,,congestion_avoidance,
290,676177.798386,72,128.178.122.39,53774,673,,congestion_avoidance,
291,676177.799236,73,128.178.122.39,53774,798,,congestion_avoidance,
292,676177.800241,74,128.178.122.39,53774,757,,congestion_avoidance,
293,676177.800979,75,128.178.122.39,53774,566,,congestion_avoidance,
294,676177.801814,76,128.178.122.39,53774,767,,congestion_avoidance,
295,676177.802891,77,128.178.122.39,53774,763,,congestion_avoidance,
296,676177.804037,78,128.178.122.39,53774,888,,congestion_avoidance,
297,676177.804873,79,128.178.122.39,53774,628,,congestion_avoidance,
298,676177.805638,80,128.178.122.39,53774,889,,congestion_avoidance,
299,676177.806802,81,128.178.122.39,53774,982,,congestion_avoidance,
300,676177.807954,82,128.178.122.39,53774,639,,congestion_avoidance,
301,676177.808728,83,128.178.122.39,53774,736,,congestion_avoidance,
302,676177.809979,84,128.178.122.39,53774,897,,congestion_avoidance,
303,676177.810899,85,128.178.122.39,53774,762,,congestion_avoidance,
304,676177.811787,86,128.178.122.39,53774,601,,congestion_avoidance,
305,676177.812953,87,128.178.122.39,53774,736,,congestion_avoidance,
306,676177.813925,88,128.178.122.39,53774,638,,congestion_avoidance,
307,676177.815214,89,128.178.122.39,53774,846,,congestion_avoidance,
308,676177.816136,90,128.178.122.39,53774,711,,congestion_avoidance,
309,676177.817197,91,128.178.122.39,53774,721,,congestion_avoidance,
310,676177.818302,92,128.178.122.39,53774,762,,congestion_avoidance,
311,676177.819701,93,128.178.122.39,53774,733,,congestion_avoidance,
312,676177.820716,94,128.178.122.39,53774,,47,congestion_avoidance,cwr
313,676177.820771,47,128.178.122.39,53774,822,,loss_recovery,
314,676177.821329,47,128.178.122.39,53774,,47,loss_recovery,open
315,676177.822128,48,128.178.122.39,53774,404,,congestion_avoidance,
316,676177.822773,49,128.178.122.39,53774,595,,congestion_avoidance,
317,676177.823342,50,128.178.122.39,53774,595,,congestion_avoidance,
318,676177.823840,51,128.178.122.39,53774,602,,congestion_avoidance,
319,676177.824386,52,128.178.122.39,53774,645,,congestion_avoidance,
320,676177.825225,53,128.178.122.39,53774,621,,congestion_avoidance,
321,676177.825796,54,128.178.122.39,53774,441,,congestion_avoidance,
322,676177.826451,55,128.178.122.39,53774,586,,congestion_avoidance,
323,676177.827037,56,128.178.122.39,53774,634,,congestion_avoidance,
324,676177.827875,57,128.178.122.39,53774,651,,congestion_avoidance,
325,676177.828476,58,128.178.122.39,53774,487,,congestion_avoidance,
326,676177.829143,59,128.178.122.39,53774,637,,congestion_avoidance,
327,676177.830139,60,128.178.122.39,53774,552,,congestion_avoidance,
328,676177.830792,61,128.178.122.39,53774,729,,congestion_avoidance,
329,676177.831320,62,128.178.122.39,53774,709,,congestion_avoidance,
330,676177.832316,63,128.178.122.39,53774,676,,congestion_avoidance,
331,676177.832906,64,128.178.122.39,53774,714,,congestion_avoidance,
332,676177.833916,65,128.178.122.39,53774,658,,congestion_avoidance,
333,676177.834543,66,128.178.122.39,53774,753,,congestion_avoidance,
334,676177.835331,67,128.178.122.39,53774,782,,congestion_avoidance,
335,676177.836204,68,128.178.122.39,53774,614,,congestion_avoidance,
336,676177.837096,69,128.178.122.39,53774,659,,congestion_avoidance,
337,676177.837933,70,128.178.122.39,53774,758,,congestion_avoidance,
338,676177.838930,71,128.178.122.39,53774,682,,congestion_avoidance,
339,676177.839633,72,128.178.122.39,53774,614,,congestion_avoidance,
340,676177.840441,73,128.178.122.39,53774,633,,congestion_avoidance,
341,676177.841548,74,128.178.122.39,53774,712,,congestion_avoidance,
342,676177.842287,75,128.178.122.39,53774,559,,congestion_avoidance,
343,676177.843293,76,128.178.122.39,53774,865,,congestion_avoidance,
344,676177.844081,77,128.178.122.39,53774,783,,congestion_avoidance,
345,676177.845134,78,128.178.122.39,53774,578,,congestion_avoidance,
346,676177.846243,79,128.178.122.39,53774,642,,congestion_avoidance,
347,676177.847274,80,128.178.122.39,53774,621,,congestion_avoidance,
348,676177.848053,81,128.178.122.39,53774,877,,congestion_avoidance,
349,676177.848921,82,128.178.122.39,53774,673,,congestion_avoidance,
350,676177.850076,83,128.178.122.39,53774,794,,congestion_avoidance,
351,676177.851175,84,128.178.122.39,53774,822,,congestion_avoidance,
352,676177.852303,85,128.178.122.39,53774,892,,congestion_avoidance,
353,676177.853036,86,128.178.122.39,53774,691,,congestion_avoidance,
354,676177.854418,87,128.178.122.39,53774,904,,congestion_avoidance,
355,676177.855479,88,128.178.122.39,53774,835,,congestion_avoidance,
356,676177.856251,89,128.178.122.39,53774,630,,congestion_avoidance,
357,676177.857336,90,128.178.122.39,53774,639,,congestion_avoidance,
358,676177.858450,91,128.178.122.39,53774,703,,congestion_avoidance,
359,676177.858795,91,128.178.122.39,53774,,45,congestion_avoidance,cwr
360,676177.859188,45,128.178.122.39,53774,901,,loss_recovery,
361,676177.859412,45,128.178.122.39,53774,,45,loss_recovery,open
362,676177.860185,46,128.178.122.39,53774,409,,congestion_avoidance,
363,676177.860762,47,128.178.122.39,53774,436,,congestion_avoidance,
364,676177.861299,48,128.178.122.39,53774,455,,congestion_avoidance,
365,676177.861807,49,128.178.122.39,53774,472,,congestion_avoidance,
366,676177.862326,50,128.178.122.39,53774,473,,congestion_avoidance,
367,676177.862947,51,128.178.122.39,53774,544,,congestion_avoidance,
368,676177.863580,52,128.178.122.39,53774,576,,congestion_avoidance,
369,676177.864364,53,128.178.122.39,53774,590,,congestion_avoidance,
370,676177.864866,54,128.178.122.39,53774,618,,congestion_avoidance,
371,676177.865673,55,128.178.122.39,53774,658,,congestion_avoidance,
372,676177.866189,56,128.178.122.39,53774,643,,congestion_avoidance,
373,676177.867032,57,128.178.122.39,53774,671,,congestion_avoidance,
374,676177.867693,58,128.178.122.39,53774,556,,congestion_avoidance,
375,676177.868487,59,128.178.122.39,53774,541,,congestion_avoidance,
376,676177.869290,60,128.178.122.39,53774,590,,congestion_avoidance,
377,676177.869800,61,128.178.122.39,53774,572,,congestion_avoidance,
378,676177.870503,62,128.178.122.39,53774,697,,congestion_avoidance,
379,676177.871431,63,128.178.122.39,53774,585,,congestion_avoidance,
380,676177.872188,64,128.178.122.39,53774,569,,congestion_avoidance,
381,676177.872952,65,128.178.122.39,53774,570,,congestion_avoidance,
382,676177.873682,66,128.178.122.39,53774,762,,congestion_avoidance,
383,676177.874488,67,128.178.122.39,53774,801,,congestion_avoidance,
384,676177.875401,68,128.178.122.39,53774,651,,congestion_avoidance,
385,676177.876290,69,128.178.122.39,53774,728,,congestion_avoidance,
386,676177.877094,70,128.178.122.39,53774,782,,congestion_avoidance,
387,676177.877863,71,128.178.122.39,53774,726,,congestion_avoidance,
