[206115.574207] audit: type=1400 audit(1780869602.243:146): apparmor="DENIED" operation="capable" profile="/usr/sbin/cupsd" pid=137210 comm="cupsd" capability=12  capname="net_admin"
[208746.513303] TCP: my_cca: seq=14000 cwnd=18 rtt=118 bytes_acked=38968576 bytes_sent=38975816 phase=slow_start Destination: 192.168.88.253:42620
[208746.516750] TCP: my_cca: seq=14100 cwnd=18 rtt=102 bytes_acked=39214736 bytes_sent=39220528 phase=slow_start Destination: 192.168.88.253:42620
[208746.520759] TCP: my_cca: seq=14200 cwnd=18 rtt=130 bytes_acked=39479720 bytes_sent=39486960 phase=slow_start Destination: 192.168.88.253:42620
[208746.524323] TCP: my_cca: seq=14300 cwnd=18 rtt=166 bytes_acked=39724432 bytes_sent=39730224 phase=slow_start Destination: 192.168.88.253:42620
[208746.528091] TCP: my_cca: seq=14400 cwnd=18 rtt=175 bytes_acked=39979280 bytes_sent=39985072 phase=slow_start Destination: 192.168.88.253:42620
[208746.532222] TCP: my_cca: seq=14500 cwnd=18 rtt=117 bytes_acked=40241368 bytes_sent=40248608 phase=slow_start Destination: 192.168.88.253:42620
[208746.535976] TCP: my_cca: seq=14600 cwnd=18 rtt=122 bytes_acked=40496216 bytes_sent=40499112 phase=slow_start Destination: 192.168.88.253:42620
[208746.539573] TCP: my_cca: seq=14700 cwnd=18 rtt=111 bytes_acked=40745272 bytes_sent=40752512 phase=slow_start Destination: 192.168.88.253:42620
[208746.543101] TCP: my_cca: seq=14800 cwnd=18 rtt=110 bytes_acked=40994328 bytes_sent=41001568 phase=slow_start Destination: 192.168.88.253:42620
[208746.546686] TCP: my_cca: seq=14900 cwnd=18 rtt=134 bytes_acked=41246280 bytes_sent=41252072 phase=slow_start Destination: 192.168.88.253:42620
[208746.550237] TCP: my_cca: seq=15000 cwnd=18 rtt=102 bytes_acked=41495336 bytes_sent=41501128 phase=slow_start Destination: 192.168.88.253:42620
[208746.554031] TCP: my_cca: seq=15100 cwnd=18 rtt=134 bytes_acked=41754528 bytes_sent=41758872 phase=slow_start Destination: 192.168.88.253:42620
[208746.561116] TCP: my_cca: seq=15300 cwnd=18 rtt=111 bytes_acked=42256984 bytes_sent=42264224 phase=slow_start Destination: 192.168.88.253:42620
[208746.564623] TCP: my_cca: seq=15400 cwnd=18 rtt=114 bytes_acked=42508936 bytes_sent=42514728 phase=slow_start Destination: 192.168.88.253:42620
[208746.568467] TCP: my_cca: seq=15500 cwnd=18 rtt=94 bytes_acked=42771024 bytes_sent=42775368 phase=slow_start Destination: 192.168.88.253:42620
[208746.572249] TCP: my_cca: seq=15600 cwnd=18 rtt=124 bytes_acked=43027320 bytes_sent=43034560 phase=slow_start Destination: 192.168.88.253:42620
[208746.575842] TCP: my_cca: seq=15700 cwnd=18 rtt=113 bytes_acked=43279272 bytes_sent=43286512 phase=slow_start Destination: 192.168.88.253:42620
[208746.579445] TCP: my_cca: seq=15800 cwnd=18 rtt=116 bytes_acked=43537016 bytes_sent=43544256 phase=slow_start Destination: 192.168.88.253:42620
[208746.582953] TCP: my_cca: seq=15900 cwnd=18 rtt=109 bytes_acked=43786072 bytes_sent=43788968 phase=slow_start Destination: 192.168.88.253:42620
[208746.586672] TCP: my_cca: seq=16000 cwnd=18 rtt=117 bytes_acked=44040920 bytes_sent=44048160 phase=slow_start Destination: 192.168.88.253:42620
[208746.590547] TCP: my_cca: seq=16100 cwnd=18 rtt=153 bytes_acked=44291424 bytes_sent=44298664 phase=slow_start Destination: 192.168.88.253:42620
[208746.594166] TCP: my_cca: seq=16200 cwnd=18 rtt=116 bytes_acked=44544824 bytes_sent=44552064 phase=slow_start Destination: 192.168.88.253:42620
[208746.597784] TCP: my_cca: seq=16300 cwnd=18 rtt=141 bytes_acked=44796776 bytes_sent=44802568 phase=slow_start Destination: 192.168.88.253:42620
[208746.601277] TCP: my_cca: seq=16400 cwnd=18 rtt=123 bytes_acked=45042936 bytes_sent=45050176 phase=slow_start Destination: 192.168.88.253:42620
