line_number,timestamp,cwnd,ip,port,rtt,ssthresh,phase,ca_state
517,79309.565008,42,192.168.88.253,58816,435,,congestion_avoidance,
518,79309.565581,43,192.168.88.253,58816,512,,congestion_avoidance,
519,79309.566196,44,192.168.88.253,58816,386,,congestion_avoidance,
520,79309.566421,45,192.168.88.253,58816,480,,congestion_avoidance,
521,79309.566984,46,192.168.88.253,58816,545,,congestion_avoidance,
522,79309.567585,47,192.168.88.253,58816,403,,congestion_avoidance,
523,79309.568218,48,192.168.88.253,58816,539,,congestion_avoidance,
524,79309.568767,49,192.168.88.253,58816,545,,congestion_avoidance,
525,79309.569392,50,192.168.88.253,58816,439,,congestion_avoidance,
526,79309.570022,51,192.168.88.253,58816,560,,congestion_avoidance,
527,79309.570635,52,192.168.88.253,58816,557,,congestion_avoidance,
528,79309.571575,53,192.168.88.253,58816,540,,congestion_avoidance,
529,79309.571903,54,192.168.88.253,58816,531,,congestion_avoidance,
530,79309.572150,34,192.168.88.253,58816,531,,loss_recovery,
531,79309.572470,27,192.168.88.253,58816,605,,loss_recovery,
532,79309.573044,28,192.168.88.253,58816,285,,congestion_avoidance,
533,79309.573286,29,192.168.88.253,58816,275,,congestion_avoidance,
534,79309.573665,30,192.168.88.253,58816,270,,congestion_avoidance,
535,79309.573940,31,192.168.88.253,58816,308,,congestion_avoidance,
536,79309.574533,32,192.168.88.253,58816,357,,congestion_avoidance,
537,79309.574758,33,192.168.88.253,58816,324,,congestion_avoidance,
538,79309.575313,34,192.168.88.253,58816,348,,congestion_avoidance,
539,79309.575619,35,192.168.88.253,58816,301,,congestion_avoidance,
540,79309.576317,36,192.168.88.253,58816,416,,congestion_avoidance,
541,79309.576610,37,192.168.88.253,58816,415,,congestion_avoidance,
542,79309.577300,38,192.168.88.253,58816,386,,congestion_avoidance,
543,79309.577513,39,192.168.88.253,58816,456,,congestion_avoidance,
544,79309.578108,40,192.168.88.253,58816,406,,congestion_avoidance,
545,79309.578628,41,192.168.88.253,58816,498,,congestion_avoidance,
546,79309.579232,42,192.168.88.253,58816,455,,congestion_avoidance,
547,79309.579497,43,192.168.88.253,58816,338,,congestion_avoidance,
548,79309.580432,44,192.168.88.253,58816,301,,congestion_avoidance,
549,79309.580773,45,192.168.88.253,58816,503,,congestion_avoidance,
550,79309.581348,46,192.168.88.253,58816,505,,congestion_avoidance,
551,79309.581943,47,192.168.88.253,58816,391,,congestion_avoidance,
552,79309.582240,48,192.168.88.253,58816,470,,congestion_avoidance,
553,79309.582830,49,192.168.88.253,58816,553,,congestion_avoidance,
554,79309.583483,50,192.168.88.253,58816,556,,congestion_avoidance,
555,79309.584081,51,192.168.88.253,58816,449,,congestion_avoidance,
556,79309.584782,52,192.168.88.253,58816,560,,congestion_avoidance,
557,79309.585457,53,192.168.88.253,58816,527,,congestion_avoidance,
558,79309.586017,54,192.168.88.253,58816,553,,congestion_avoidance,
559,79309.586691,55,192.168.88.253,58816,669,,congestion_avoidance,
560,79309.587300,56,192.168.88.253,58816,507,,congestion_avoidance,
561,79309.588232,28,192.168.88.253,58816,671,,loss_recovery,
562,79309.588898,29,192.168.88.253,58816,333,,congestion_avoidance,
563,79309.589413,30,192.168.88.253,58816,297,,congestion_avoidance,
564,79309.589671,31,192.168.88.253,58816,306,,congestion_avoidance,
565,79309.590267,32,192.168.88.253,58816,393,,congestion_avoidance,
566,79309.590667,33,192.168.88.253,58816,395,,congestion_avoidance,
567,79309.590922,34,192.168.88.253,58816,360,,congestion_avoidance,
568,79309.591238,35,192.168.88.253,58816,279,,congestion_avoidance,
569,79309.591830,36,192.168.88.253,58816,308,,congestion_avoidance,
570,79309.592105,37,192.168.88.253,58816,409,,congestion_avoidance,
571,79309.592703,38,192.168.88.253,58816,322,,congestion_avoidance,
572,79309.593041,39,192.168.88.253,58816,516,,congestion_avoidance,
573,79309.593615,40,192.168.88.253,58816,340,,congestion_avoidance,
574,79309.594196,41,192.168.88.253,58816,401,,congestion_avoidance,
575,79309.594506,42,192.168.88.253,58816,378,,congestion_avoidance,
576,79309.595195,43,192.168.88.253,58816,379,,congestion_avoidance,
577,79309.595740,44,192.168.88.253,58816,412,,congestion_avoidance,
578,79309.596357,45,192.168.88.253,58816,518,,congestion_avoidance,
579,79309.596652,46,192.168.88.253,58816,439,,congestion_avoidance,
580,79309.597360,47,192.168.88.253,58816,431,,congestion_avoidance,
581,79309.597966,48,192.168.88.253,58816,533,,congestion_avoidance,
582,79309.598512,49,192.168.88.253,58816,578,,congestion_avoidance,
583,79309.599281,50,192.168.88.253,58816,600,,congestion_avoidance,
584,79309.599594,51,192.168.88.253,58816,518,,congestion_avoidance,
585,79309.600478,52,192.168.88.253,58816,439,,congestion_avoidance,
586,79309.601015,53,192.168.88.253,58816,436,,congestion_avoidance,
587,79309.601635,54,192.168.88.253,58816,475,,congestion_avoidance,
588,79309.602213,55,192.168.88.253,58816,600,,congestion_avoidance,
589,79309.602805,32,192.168.88.253,58816,958,,loss_recovery,
590,79309.603084,27,192.168.88.253,58816,944,,loss_recovery,
591,79309.603637,28,192.168.88.253,58816,326,,congestion_avoidance,
592,79309.604146,29,192.168.88.253,58816,149,,congestion_avoidance,
593,79309.604431,30,192.168.88.253,58816,329,,congestion_avoidance,
594,79309.604707,31,192.168.88.253,58816,315,,congestion_avoidance,
595,79309.605062,32,192.168.88.253,58816,251,,congestion_avoidance,
596,79309.605582,33,192.168.88.253,58816,289,,congestion_avoidance,
597,79309.605893,34,192.168.88.253,58816,306,,congestion_avoidance,
598,79309.606228,35,192.168.88.253,58816,398,,congestion_avoidance,
599,79309.606977,36,192.168.88.253,58816,413,,congestion_avoidance,
600,79309.607295,37,192.168.88.253,58816,417,,congestion_avoidance,
601,79309.607937,38,192.168.88.253,58816,367,,congestion_avoidance,
602,79309.608179,39,192.168.88.253,58816,459,,congestion_avoidance,
603,79309.608688,40,192.168.88.253,58816,458,,congestion_avoidance,
604,79309.609292,41,192.168.88.253,58816,297,,congestion_avoidance,
605,79309.609896,42,192.168.88.253,58816,432,,congestion_avoidance,
606,79309.610189,43,192.168.88.253,58816,417,,congestion_avoidance,
607,79309.610687,44,192.168.88.253,58816,544,,congestion_avoidance,
608,79309.611475,45,192.168.88.253,58816,457,,congestion_avoidance,
609,79309.612044,46,192.168.88.253,58816,503,,congestion_avoidance,
610,79309.612415,47,192.168.88.253,58816,484,,congestion_avoidance,
611,79309.612988,48,192.168.88.253,58816,544,,congestion_avoidance,
612,79309.613624,49,192.168.88.253,58816,534,,congestion_avoidance,
613,79309.614255,50,192.168.88.253,58816,454,,congestion_avoidance,
614,79309.614903,51,192.168.88.253,58816,567,,congestion_avoidance,
615,79309.615593,52,192.168.88.253,58816,566,,congestion_avoidance,
616,79309.616159,53,192.168.88.253,58816,583,,congestion_avoidance,
617,79309.616770,54,192.168.88.253,58816,647,,congestion_avoidance,
618,79309.617389,55,192.168.88.253,58816,442,,congestion_avoidance,
619,79309.618276,56,192.168.88.253,58816,529,,congestion_avoidance,
620,79309.618921,57,192.168.88.253,58816,709,,congestion_avoidance,
621,79309.619522,58,192.168.88.253,58816,495,,congestion_avoidance,
622,79309.620206,59,192.168.88.253,58816,618,,congestion_avoidance,
623,79309.620832,60,192.168.88.253,58816,514,,congestion_avoidance,
624,79309.621725,61,192.168.88.253,58816,620,,congestion_avoidance,
625,79309.622580,62,192.168.88.253,58816,655,,congestion_avoidance,
626,79309.623176,63,192.168.88.253,58816,761,,congestion_avoidance,
627,79309.624105,64,192.168.88.253,58816,623,,congestion_avoidance,
628,79309.624659,65,192.168.88.253,58816,662,,congestion_avoidance,
629,79309.625600,66,192.168.88.253,58816,558,,congestion_avoidance,
630,79309.625953,40,192.168.88.253,58816,625,,loss_recovery,
631,79309.626236,33,192.168.88.253,58816,652,,loss_recovery,
632,79309.626910,34,192.168.88.253,58816,276,,congestion_avoidance,
633,79309.627232,35,192.168.88.253,58816,288,,congestion_avoidance,
634,79309.627851,36,192.168.88.253,58816,370,,congestion_avoidance,
635,79309.628440,37,192.168.88.253,58816,437,,congestion_avoidance,
636,79309.628887,38,192.168.88.253,58816,401,,congestion_avoidance,
637,79309.629201,39,192.168.88.253,58816,470,,congestion_avoidance,
638,79309.629532,40,192.168.88.253,58816,469,,congestion_avoidance,
639,79309.630055,41,192.168.88.253,58816,480,,congestion_avoidance,
640,79309.630917,42,192.168.88.253,58816,448,,congestion_avoidance,
641,79309.631300,43,192.168.88.253,58816,362,,congestion_avoidance,
642,79309.631630,44,192.168.88.253,58816,499,,congestion_avoidance,
