queue_bytes	burst_bytes	rate_mbit	mode	configured_cwnd	attempt	display_cwnd	throughput_mib_s	loss_rate	row_count	loss_rows	first_loss_cwnd	avg_top_cwnd	result_dir	server_log	client_log
5840	5840	500	reno	0	1	7.11	34.65	0.474294	20618	9779	10	7.11	/home/nal/NAL_edwin_sm/client_server/DB/1GB/1GB_42652_0	/home/nal/NAL_edwin_sm/client_server/sweep_results/20260610_215942/logs/5840q_5840burst_500mbit_reno_0_run1/server-wrapper.log	/home/nal/NAL_edwin_sm/client_server/sweep_results/20260610_215942/logs/5840q_5840burst_500mbit_reno_0_run1/client.log
5840	5840	500	empirical	7	1	7	54.79	0.255492	4051	1035	7	6.96	/home/nal/NAL_edwin_sm/client_server/DB/1GB/1GB_54742_7	/home/nal/NAL_edwin_sm/client_server/sweep_results/20260610_215942/logs/5840q_5840burst_500mbit_empirical_7_run1/server-wrapper.log	/home/nal/NAL_edwin_sm/client_server/sweep_results/20260610_215942/logs/5840q_5840burst_500mbit_empirical_7_run1/client.log
5840	5840	500	empirical	6	2	6	54.43	0.181227	2461	446	3	6.00	/home/nal/NAL_edwin_sm/client_server/DB/1GB/1GB_57948_6	/home/nal/NAL_edwin_sm/client_server/sweep_results/20260610_215942/logs/5840q_5840burst_500mbit_empirical_6_run2/server-wrapper.log	/home/nal/NAL_edwin_sm/client_server/sweep_results/20260610_215942/logs/5840q_5840burst_500mbit_empirical_6_run2/client.log
5840	5840	500	empirical	5	3	5	45.70	0.000000	1246	0		5.00	/home/nal/NAL_edwin_sm/client_server/DB/1GB/1GB_39504_5	/home/nal/NAL_edwin_sm/client_server/sweep_results/20260610_215942/logs/5840q_5840burst_500mbit_empirical_5_run3/server-wrapper.log	/home/nal/NAL_edwin_sm/client_server/sweep_results/20260610_215942/logs/5840q_5840burst_500mbit_empirical_5_run3/client.log
5840	5840	500	bdp_plus_queue	20	1	20	37.40	0.472745	22418	10598	8	7.15	/home/nal/NAL_edwin_sm/client_server/DB/1GB/1GB_50840_20	/home/nal/NAL_edwin_sm/client_server/sweep_results/20260610_215942/logs/5840q_5840burst_500mbit_bdp_plus_queue_20_run1/server-wrapper.log	/home/nal/NAL_edwin_sm/client_server/sweep_results/20260610_215942/logs/5840q_5840burst_500mbit_bdp_plus_queue_20_run1/client.log
5840	5840	500	bdp	18	1	18	40.10	0.470211	19672	9250	8	7.13	/home/nal/NAL_edwin_sm/client_server/DB/1GB/1GB_35806_18	/home/nal/NAL_edwin_sm/client_server/sweep_results/20260610_215942/logs/5840q_5840burst_500mbit_bdp_18_run1/server-wrapper.log	/home/nal/NAL_edwin_sm/client_server/sweep_results/20260610_215942/logs/5840q_5840burst_500mbit_bdp_18_run1/client.log
5840	5840	750	reno	0	1	7.09	39.90	0.469519	25409	11930	10	7.09	/home/nal/NAL_edwin_sm/client_server/DB/1GB/1GB_53534_0	/home/nal/NAL_edwin_sm/client_server/sweep_results/20260610_215942/logs/5840q_5840burst_750mbit_reno_0_run1/server-wrapper.log	/home/nal/NAL_edwin_sm/client_server/sweep_results/20260610_215942/logs/5840q_5840burst_750mbit_reno_0_run1/client.log
5840	5840	750	empirical	7	1	7	63.44	0.000000	1560	0		7.00	/home/nal/NAL_edwin_sm/client_server/DB/1GB/1GB_37600_7	/home/nal/NAL_edwin_sm/client_server/sweep_results/20260610_215942/logs/5840q_5840burst_750mbit_empirical_7_run1/server-wrapper.log	/home/nal/NAL_edwin_sm/client_server/sweep_results/20260610_215942/logs/5840q_5840burst_750mbit_empirical_7_run1/client.log
5840	5840	750	bdp_plus_queue	28	1	28	39.86	0.467991	13137	6148	7	7.09	/home/nal/NAL_edwin_sm/client_server/DB/1GB/1GB_57946_28	/home/nal/NAL_edwin_sm/client_server/sweep_results/20260610_215942/logs/5840q_5840burst_750mbit_bdp_plus_queue_28_run1/server-wrapper.log	/home/nal/NAL_edwin_sm/client_server/sweep_results/20260610_215942/logs/5840q_5840burst_750mbit_bdp_plus_queue_28_run1/client.log
5840	5840	750	bdp	26	1	26	39.63	0.469076	14665	6879	8	7.09	/home/nal/NAL_edwin_sm/client_server/DB/1GB/1GB_55572_26	/home/nal/NAL_edwin_sm/client_server/sweep_results/20260610_215942/logs/5840q_5840burst_750mbit_bdp_26_run1/server-wrapper.log	/home/nal/NAL_edwin_sm/client_server/sweep_results/20260610_215942/logs/5840q_5840burst_750mbit_bdp_26_run1/client.log
