queue_bytes,burst_bytes,tgr_mbit,strategy,cwnd,throughput_mib_s,empirical_max_loss_rate
25000,100000,500,reno,19.81,56.48,0.05
25000,100000,500,empirical,16.0,56.66,0.05
25000,100000,500,bdp_plus_queue,33.0,56.83,0.05
25000,100000,500,bdp,17.0,56.85,0.05
25000,100000,750,reno,22.65,79.6,0.05
25000,100000,750,empirical,18.0,84.95,0.05
25000,100000,750,bdp_plus_queue,41.0,80.54,0.05
25000,100000,750,bdp,25.0,85.22,0.05
25000,100000,1000,reno,40.59,95.32,0.05
25000,100000,1000,empirical,33.0,107.41,0.05
25000,100000,1000,bdp_plus_queue,50.0,88.37,0.05
25000,100000,1000,bdp,34.0,81.06,0.05
50000,5840,250,reno,36.36,28.39,0.05
50000,5840,250,empirical,36.0,28.36,0.05
50000,5840,250,bdp_plus_queue,41.0,28.25,0.05
50000,5840,250,bdp,8.0,28.21,0.05
50000,5840,500,reno,31.68,56.75,0.05
50000,5840,500,empirical,31.0,56.71,0.05
50000,5840,500,bdp_plus_queue,50.0,56.76,0.05
50000,5840,500,bdp,17.0,56.5,0.05
50000,5840,750,reno,32.87,84.14,0.05
50000,5840,750,empirical,32.0,84.54,0.05
50000,5840,750,bdp_plus_queue,58.0,84.49,0.05
50000,5840,750,bdp,25.0,84.83,0.05
50000,5840,1000,reno,46.44,108.94,0.05
50000,5840,1000,empirical,41.0,108.72,0.05
50000,5840,1000,bdp_plus_queue,67.0,109.34,0.05
50000,5840,1000,bdp,34.0,109.65,0.05
50000,12500,250,reno,35.87,28.42,0.05
50000,12500,250,empirical,35.0,28.38,0.05
50000,12500,250,bdp_plus_queue,41.0,28.41,0.05
50000,12500,250,bdp,8.0,28.31,0.05
50000,12500,500,reno,31.34,56.72,0.05
50000,12500,500,empirical,31.0,56.8,0.05
50000,12500,500,bdp_plus_queue,50.0,55.93,0.05
50000,12500,500,bdp,17.0,56.45,0.05
50000,12500,750,reno,32.44,84.43,0.05
50000,12500,750,empirical,32.0,85.03,0.05
50000,12500,750,bdp_plus_queue,58.0,84.82,0.05
50000,12500,750,bdp,25.0,85.13,0.05
50000,12500,1000,reno,50.66,110.1,0.05
50000,12500,1000,empirical,49.0,111.12,0.05
50000,12500,1000,bdp_plus_queue,67.0,110.03,0.05
50000,12500,1000,bdp,34.0,110.18,0.05
50000,25000,250,reno,34.47,28.45,0.05
50000,25000,250,empirical,33.0,28.46,0.05
50000,25000,250,bdp_plus_queue,41.0,28.42,0.05
50000,25000,250,bdp,8.0,28.39,0.05
50000,25000,500,reno,35.55,56.58,0.05
50000,25000,500,empirical,33.0,56.73,0.05
50000,25000,500,bdp_plus_queue,50.0,56.8,0.05
50000,25000,500,bdp,17.0,56.61,0.05
50000,25000,750,reno,40.04,85.05,0.05
50000,25000,750,empirical,35.0,84.54,0.05
50000,25000,750,bdp_plus_queue,58.0,85.09,0.05
50000,25000,750,bdp,25.0,84.95,0.05
50000,25000,1000,reno,54.46,110.91,0.05
50000,25000,1000,empirical,53.0,111.52,0.05
50000,25000,1000,bdp_plus_queue,67.0,111.17,0.05
50000,25000,1000,bdp,34.0,110.68,0.05
50000,50000,250,reno,35.49,28.45,0.05
50000,50000,250,empirical,33.0,28.47,0.05
50000,50000,250,bdp_plus_queue,41.0,28.47,0.05
50000,50000,250,bdp,8.0,28.43,0.05
50000,50000,500,reno,37.37,56.87,0.05
50000,50000,500,empirical,33.0,56.73,0.05
50000,50000,500,bdp_plus_queue,50.0,56.32,0.05
50000,50000,500,bdp,17.0,52.76,0.05
50000,50000,750,reno,41.11,83.24,0.05
50000,50000,750,empirical,36.0,83.81,0.05
50000,50000,750,bdp_plus_queue,58.0,84.96,0.05
50000,50000,750,bdp,25.0,84.78,0.05
50000,50000,1000,reno,58.0,110.88,0.05
50000,50000,1000,empirical,58.0,111.28,0.05
50000,50000,1000,bdp_plus_queue,67.0,111.89,0.05
50000,50000,1000,bdp,34.0,109.65,0.05
50000,100000,250,reno,35.46,28.48,0.05
50000,100000,250,empirical,32.0,28.5,0.05
50000,100000,250,bdp_plus_queue,41.0,28.49,0.05
50000,100000,250,bdp,8.0,28.44,0.05
50000,100000,500,reno,37.29,56.83,0.05
50000,100000,500,empirical,33.0,56.89,0.05
50000,100000,500,bdp_plus_queue,50.0,56.88,0.05
50000,100000,500,bdp,17.0,56.75,0.05
50000,100000,750,reno,45.1,85.25,0.05
50000,100000,750,empirical,35.0,85.11,0.05
50000,100000,750,bdp_plus_queue,58.0,85.24,0.05
50000,100000,750,bdp,25.0,85.13,0.05
50000,100000,1000,reno,72.22,108.57,0.05
50000,100000,1000,empirical,69.0,109.31,0.05
50000,100000,1000,bdp_plus_queue,67.0,112.01,0.05
50000,100000,1000,bdp,34.0,101.95,0.05
100000,5840,250,reno,74.0,28.47,0.05
100000,5840,250,empirical,74.0,28.21,0.05
100000,5840,250,bdp_plus_queue,76.0,28.1,0.05
100000,5840,250,bdp,8.0,28.0,0.05
100000,5840,500,reno,64.62,51.1,0.05
100000,5840,500,empirical,64.0,56.7,0.05
100000,5840,500,bdp_plus_queue,84.0,56.91,0.05
100000,5840,500,bdp,17.0,56.33,0.05
100000,5840,750,reno,62.68,77.19,0.05
100000,5840,750,empirical,62.0,84.93,0.05
100000,5840,750,bdp_plus_queue,93.0,84.69,0.05
100000,5840,750,bdp,25.0,84.83,0.05
100000,5840,1000,reno,68.26,83.46,0.05
100000,5840,1000,empirical,68.0,111.23,0.05
100000,5840,1000,bdp_plus_queue,101.0,109.78,0.05
100000,5840,1000,bdp,34.0,108.59,0.05
100000,12500,250,reno,58.36,28.36,0.05
100000,12500,250,empirical,58.0,28.41,0.05
100000,12500,250,bdp_plus_queue,76.0,28.44,0.05
100000,12500,250,bdp,8.0,28.32,0.05
100000,12500,500,reno,58.72,56.92,0.05
100000,12500,500,empirical,58.0,56.92,0.05
100000,12500,500,bdp_plus_queue,84.0,56.63,0.05
100000,12500,500,bdp,17.0,56.57,0.05
100000,12500,750,reno,59.39,85.04,0.05
100000,12500,750,empirical,59.0,85.36,0.05
100000,12500,750,bdp_plus_queue,93.0,85.32,0.05
100000,12500,750,bdp,25.0,85.01,0.05
100000,12500,1000,reno,87.51,110.75,0.05
100000,12500,1000,empirical,87.0,111.38,0.05
100000,12500,1000,bdp_plus_queue,101.0,110.94,0.05
100000,12500,1000,bdp,34.0,108.86,0.05
100000,25000,250,reno,58.0,28.44,0.05
100000,25000,250,empirical,58.0,28.44,0.05
100000,25000,250,bdp_plus_queue,76.0,28.45,0.05
100000,25000,250,bdp,8.0,28.24,0.05
100000,25000,500,reno,57.07,56.57,0.05
100000,25000,500,empirical,57.0,56.9,0.05
100000,25000,500,bdp_plus_queue,84.0,56.06,0.05
100000,25000,500,bdp,17.0,56.63,0.05
100000,25000,750,reno,61.74,85.18,0.05
100000,25000,750,empirical,61.0,85.25,0.05
100000,25000,750,bdp_plus_queue,93.0,84.78,0.05
