[378917.006670] audit: type=1400 audit(1781042404.528:156): apparmor="DENIED" operation="capable" profile="/usr/sbin/cupsd" pid=2401019 comm="cupsd" capability=12  capname="net_admin"
[378917.055091] audit: type=1400 audit(1781042404.576:157): apparmor="DENIED" operation="capable" profile="/usr/sbin/cups-browsed" pid=2401041 comm="cups-browsed" capability=23  capname="sys_nice"
[400886.138247] audit: type=1326 audit(1781064373.769:158): auid=1000 uid=1000 gid=1000 ses=3 subj=snap.snap-store.ubuntu-software pid=211902 comm="pool-org.gnome." exe="/snap/snap-store/1216/usr/bin/snap-store" sig=0 arch=c000003e syscall=93 compat=0 ip=0x7f4bf0bc1b1b code=0x50000
[402336.181986] systemd[1]: systemd 249.11-0ubuntu3.21 running in system mode (+PAM +AUDIT +SELINUX +APPARMOR +IMA +SMACK +SECCOMP +GCRYPT +GNUTLS +OPENSSL +ACL +BLKID +CURL +ELFUTILS +FIDO2 +IDN2 -IDN +IPTC +KMOD +LIBCRYPTSETUP +LIBFDISK +PCRE2 -PWQUALITY -P11KIT -QRENCODE +BZIP2 +LZ4 +XZ +ZLIB +ZSTD -XKBCOMMON +UTMP +SYSVINIT default-hierarchy=unified)
[402336.200859] systemd[1]: Detected architecture x86-64.
[402336.201047] Lockdown: systemd: /dev/mem,kmem,port is restricted; see man kernel_lockdown.7
[402336.315698] systemd[1]: Configuration file /run/systemd/system/netplan-ovs-cleanup.service is marked world-inaccessible. This has no effect as configuration data is accessible via APIs without restrictions. Proceeding anyway.
[402336.363974] systemd[1]: /lib/systemd/system/snapd.service:23: Unknown key name 'RestartMode' in section 'Service', ignoring.
[402337.070075] systemd-journald[280]: Received SIGTERM from PID 1 (systemd).
[402337.070450] systemd[1]: Stopping Journal Service...
[402337.108349] systemd[1]: systemd-journald.service: Deactivated successfully.
[402337.108837] systemd[1]: Stopped Journal Service.
[402337.108895] systemd[1]: systemd-journald.service: Consumed 6h 51min 28.868s CPU time.
[402337.112700] systemd[1]: Starting Journal Service...
[402337.160449] systemd[1]: Started Journal Service.
[434358.046494] TCP: my_cca: seq=7135 cwnd=72 rtt=683 bytes_acked=24607312 bytes_sent=25153208 phase=loss_recovery Destination: 192.168.88.253:44632
[434358.047101] TCP: my_cca: seq=7153 cwnd=36 rtt=365 bytes_acked=24678264 bytes_sent=25205336 phase=congestion_avoidance Destination: 192.168.88.253:44632
[434358.048536] TCP: my_cca: seq=7200 cwnd=39 rtt=431 bytes_acked=24846232 bytes_sent=25381992 phase=congestion_avoidance Destination: 192.168.88.253:44632
[434358.051605] TCP: my_cca: seq=7300 cwnd=45 rtt=473 bytes_acked=25209680 bytes_sent=25735304 phase=congestion_avoidance Destination: 192.168.88.253:44632
[434358.054655] TCP: my_cca: seq=7400 cwnd=50 rtt=616 bytes_acked=25567336 bytes_sent=26113232 phase=congestion_avoidance Destination: 192.168.88.253:44632
[434358.057600] TCP: my_cca: seq=7500 cwnd=55 rtt=516 bytes_acked=25916304 bytes_sent=26453512 phase=congestion_avoidance Destination: 192.168.88.253:44632
[434358.060726] TCP: my_cca: seq=7600 cwnd=59 rtt=650 bytes_acked=26279752 bytes_sent=26834336 phase=congestion_avoidance Destination: 192.168.88.253:44632
[434358.063692] TCP: my_cca: seq=7700 cwnd=63 rtt=733 bytes_acked=26631616 bytes_sent=27178960 phase=congestion_avoidance Destination: 192.168.88.253:44632
[434358.066772] TCP: my_cca: seq=7800 cwnd=67 rtt=640 bytes_acked=26993616 bytes_sent=27553992 phase=congestion_avoidance Destination: 192.168.88.253:44632
[434358.069923] TCP: my_cca: seq=7900 cwnd=71 rtt=610 bytes_acked=27364304 bytes_sent=27929024 phase=congestion_avoidance Destination: 192.168.88.253:44632
[434358.070308] TCP: my_cca: seq=7912 cwnd=71 rtt=680 bytes_acked=27409192 bytes_sent=27989840 phase=loss_recovery Destination: 192.168.88.253:44632
[434358.070907] TCP: my_cca: seq=7931 cwnd=35 rtt=330 bytes_acked=27480144 bytes_sent=28040520 phase=congestion_avoidance Destination: 192.168.88.253:44632
[434358.072951] TCP: my_cca: seq=8000 cwnd=39 rtt=362 bytes_acked=27721960 bytes_sent=28279440 phase=congestion_avoidance Destination: 192.168.88.253:44632
[434358.075921] TCP: my_cca: seq=8100 cwnd=45 rtt=473 bytes_acked=28069480 bytes_sent=28637096 phase=congestion_avoidance Destination: 192.168.88.253:44632
[434358.078848] TCP: my_cca: seq=8200 cwnd=50 rtt=471 bytes_acked=28414104 bytes_sent=28986064 phase=congestion_avoidance Destination: 192.168.88.253:44632
[434358.081789] TCP: my_cca: seq=8300 cwnd=54 rtt=536 bytes_acked=28761624 bytes_sent=29353856 phase=congestion_avoidance Destination: 192.168.88.253:44632
[434358.084688] TCP: my_cca: seq=8400 cwnd=59 rtt=528 bytes_acked=29101904 bytes_sent=29699928 phase=congestion_avoidance Destination: 192.168.88.253:44632
[434358.087623] TCP: my_cca: seq=8500 cwnd=63 rtt=576 bytes_acked=29446528 bytes_sent=30044552 phase=congestion_avoidance Destination: 192.168.88.253:44632
[434358.090506] TCP: my_cca: seq=8600 cwnd=66 rtt=555 bytes_acked=29786808 bytes_sent=30387728 phase=congestion_avoidance Destination: 192.168.88.253:44632
[434358.093444] TCP: my_cca: seq=8700 cwnd=69 rtt=545 bytes_acked=30132880 bytes_sent=30729456 phase=congestion_avoidance Destination: 192.168.88.253:44632
[434358.095696] TCP: my_cca: seq=8774 cwnd=72 rtt=699 bytes_acked=30396416 bytes_sent=31014712 phase=loss_recovery Destination: 192.168.88.253:44632
[434358.096297] TCP: my_cca: seq=8796 cwnd=36 rtt=348 bytes_acked=30467368 bytes_sent=31068288 phase=congestion_avoidance Destination: 192.168.88.253:44632
[434358.096457] TCP: my_cca: seq=8800 cwnd=36 rtt=360 bytes_acked=30484744 bytes_sent=31076976 phase=congestion_avoidance Destination: 192.168.88.253:44632
[434358.099515] TCP: my_cca: seq=8900 cwnd=42 rtt=445 bytes_acked=30845296 bytes_sent=31450560 phase=congestion_avoidance Destination: 192.168.88.253:44632
